artwork_id,display_name,artist_id
ARTIC-0f1b4de0-bf06-fd85-3646-9671e349efbb,"Martin Schaffner, attributed to (German, 1477/78 - 1546/49)",
ARTIC-0f1cc0e0-e42e-be16-3f71-2022da38cb93,"Claude Monet (French, 1840–1926)",Q296
ARTIC-0f1d3bfb-cbd3-80cb-dfb9-d157e77d1542,Italian or Spanish,
ARTIC-0f2d999d-0173-2935-a6d0-0175bb97b2a9,"George Inness (American, 1825–1894)",Q704868
ARTIC-0f393afe-c66f-43af-c235-087014be8cf4,"Ary Scheffer (Dutch, active France, 1795-1858)",Q436726
ARTIC-0f3c0994-250c-55f0-5f6f-1b7824de84a2," Dong Qichang (Chinese, 1555-1636)",Q537211
ARTIC-0f9304d9-e93d-7169-e1ab-48d3cc664dde,"Anders Leonard Zorn (Swedish, 1860-1920)",Q206820
ARTIC-0f951635-312c-0829-451b-553f461c5518,"Bartolomeo Manfredi (Italian, 1582-1622)",Q721166
ARTIC-0fa92b0d-fc6d-529c-8afa-bba21f3e1fae,"Thomas Couture (French, 1815–1879)",Q326434
ARTIC-0faa1fea-aaaa-83bf-8324-8b7f90266dd2,"Charles François Daubigny (French, 1817–1878)",Q252357
ARTIC-0ff20364-c795-c2ca-c1e8-e5a848f09554,"Camille Pissarro (French, 1830-1903)",Q134741
ARTIC-10429355-e9c3-c48d-1d2a-6fef025d140e,"Salomon van Ruysdael (Dutch, about 1602-70)",Q247005
ARTIC-1043be9e-936e-56dc-4441-86d655da56d1,"Kano Tsunenobu (Japanese, 1636-1713)",Q3192797
ARTIC-105ea4c3-910e-ab34-c3cd-32ec5b91c224,"Lu Hui (Chinese, 1851-1920)",Q45706235
ARTIC-107b6ab1-0554-535c-6f55-788e4fd90f37,French (Picardy),
ARTIC-107dd824-9ae2-b091-9787-5901d5e300da,"Giovanni Baglione (Italian, 1566–1643)",Q983332
ARTIC-108f44fc-d93b-abf0-c33c-2920d57844c3,"Rogier van der Weyden and Workshop (Netherlandish, c. 1399-1464)",
ARTIC-10bdba64-db41-0811-f681-c904afded43c,"John Smibert (American, born Scotland, 1688-1751)",Q3182482
ARTIC-10c31086-2515-1348-2c37-ed41aaa7dc88,"Théodore Rousseau (French, 1812-1867)",Q310025
ARTIC-10fccebf-c9ee-4c52-1bbc-88112a78d695,"Francisco José de Goya y Lucientes (Spanish, 1746–1828)",Q5432
ARTIC-11543bce-49cf-c7c3-5091-229b39747ce1,"India (Rajasthan, Mewar)",
ARTIC-118eacd7-3e92-a96d-7b0e-160eb0c0bf20,"Salvator Rosa (Italian, 1615-1673)",Q359421
ARTIC-11caaf7a-bf12-37f5-99c6-a096de76de18,"Style of Aelbert Cuyp (Dutch, 1620–1691)",
ARTIC-11d1c6e6-f051-0a5e-5c7b-57f935b6d181,"Joachim Beuckelaer (Netherlandish, c. 1535-c. 1574)",Q533314
ARTIC-11ebfa25-7aba-e091-40e4-9b4d4069f1fc,"Will Hicock Low (American, 1853-1932)",Q8002863
ARTIC-11f33728-685f-c85c-2326-cd0e42536044,"David Teniers the Younger (Flemish, 1610-1690) )",Q335022
ARTIC-11f6e7f8-9c46-1dd7-4ba8-4ef07bfc3bfa,"Hans Memling (Netherlandish, 1435/40-1494)",Q106851
ARTIC-12514262-7163-403d-80a2-2c64e57325f2,"Luigi Loir (French, 1845-1916)",Q974735
ARTIC-12575224-2442-cd95-cafc-63be09804e25,"Liu Songfu (Chinese, ?- c. 1917)",
ARTIC-12662645-5164-4bb1-cfec-3517a4c9779c,"François Boucher (French, 1703–1770)",Q180932
ARTIC-12731595-67a3-dc3c-efa8-29d75b9cd315,"Berthe Morisot (French, 1841-1895)",Q105320
ARTIC-12d3265d-c9fc-ca4c-ca25-59032b3227de,"Jean Baptiste Belin I (Blin de Fontenay; French, 1653-1715)",Q1684612
ARTIC-12d5b271-863a-2072-3c2c-b70954e4c98a,"Xugu (Chinese, 1823-1896)",Q15898902
ARTIC-12f32e59-cba2-0a32-972e-cf4d7856560c,"Severin Roesen (American, born Germany, 1815/17-1872)",Q88498
