,tag_id,artwork_id
10324,1,TCMA-f2b6f469-0c92-4283-be25-4a7a781199da
10323,1,TCMA-073a7ad5-e920-4e1c-be81-b0f9dd9d781b
11787,1,TCMA-ef02d19c-534c-41d1-9109-fe918d1845af
10322,1,TCMA-3d0a3515-10dc-4f4a-b640-e3e132ed4c92
6022,1,MET-51deae0a-74b7-4db7-95a4-813defa7aa5a
5445,1,MET-0e220eb5-9751-4dc7-80de-0944a6a0a45e
1385,1,ARTIC-cd2ebc0d-eea7-d476-1a57-daf8a3976675
5075,1,MET-a8477b70-4c15-427c-a282-db1e910efd9e
3010,1,NGA-8b3b5c3e-0b36-4229-bbcf-645cd16126f9
10318,1,TCMA-3c74ce87-05e2-46c4-8633-2272e9574f74
4786,1,MET-dd523a08-70c5-47dd-9885-8327c4aa1532
11791,1,TCMA-43783d88-1bfd-4527-9f10-57055f4aa52f
10317,1,TCMA-2ab901fd-963c-4841-b977-e360792ab1b0
6021,1,MET-e214647d-3dc7-4e0c-ae66-ddc1b575bc9e
1388,1,ARTIC-cd74179e-f331-ebfa-5fa5-ef505d81af0e
4500,1,MET-ce3597cd-857c-41e0-9907-c08b02edb287
6263,1,MET-c4bedfd6-3f01-4f1d-9c80-e308bae9525e
11792,1,TCMA-e455da53-279d-4f38-aafc-2baa5ca8f416
1389,1,ARTIC-cd9e4fe1-7404-dbee-522f-8d8e0335a830
10316,1,TCMA-1354d81a-a742-4214-9ea1-9c03b9bb4468
6019,1,MET-e9d51cde-a335-49de-8aa9-8a4b92adbe5e
6791,1,MET-d8d6ab25-623f-440a-895f-f80ab1aba344
10300,1,TCMA-8f2b56f0-0418-4e03-abf0-6665b575b86c
1410,1,ARTIC-d2c1e32e-f890-a12a-19e0-f8d638d19bdf
10284,1,TCMA-c8c97f75-d744-4a0e-a14b-ac2d626fa9a7
418,1,ARTIC-3b090ebe-5635-1008-3529-3e61fc680e2a
10283,1,TCMA-a23fc78d-5c24-40af-a6ad-8f49712479d1
10282,1,TCMA-ec0a0e9b-83dc-4f29-a7e8-38b80e1cb55f
1411,1,ARTIC-d33c55db-d036-0e1c-b8fe-4ba5b74efb03
7806,1,MET-bfc7e239-23f9-4f86-96fc-2930b2e2bb77
5459,1,MET-65aa4112-49dc-4127-ae63-506ed279dc33
3608,1,NGA-c8bc20ab-e453-4a6c-9a8c-c53b566a5765
6788,1,MET-3bc012b5-37a7-4f06-8d25-8e885d57e631
417,1,ARTIC-3b07d318-3be1-4e9a-e4ae-05700abcbc5b
10280,1,TCMA-59c5e61d-ffc6-4df5-93bd-2acca1ac80ee
7807,1,MET-9a1fec4b-d958-49aa-bf2f-f0ea71674703
1413,1,ARTIC-d3898014-9a2d-7fb9-1eac-e76a8d25acdb
5460,1,MET-cb12f22e-2c7e-4fdc-a696-a216efd47768
5461,1,MET-49d310ee-ba52-4043-9b38-af277f146a00
4098,1,NGA-fcf7a2ab-1b88-4aef-a6ac-b24fe7242837
6786,1,MET-3fc42241-ac98-4aa8-acad-dcc4a9251f13
1414,1,ARTIC-d39b1026-7d8d-6e6a-738e-8a136b1a0033
5073,1,MET-5af13370-49c6-449f-b04c-a0a2e81301b0
5458,1,MET-0a44471f-c0b6-4740-b7dd-1483a4fc3c97
6789,1,MET-c84d3763-7545-4a18-8759-e3367cd71e46
1408,1,ARTIC-d1b3187e-941b-9aeb-df3f-e8b5c7e13440
423,1,ARTIC-3bae5e81-c63d-6118-2322-02fd447fbf5b
5454,1,MET-038ad701-cfb4-41ec-9f8e-25ef75f4abe4
6018,1,MET-4cf196a7-61aa-4bf5-8b97-01fe16a1a0e5
422,1,ARTIC-3b901b0a-b8a8-7299-1851-c25116dfa116
11799,1,TCMA-1c1cafd5-9814-484d-9379-78566ba3621b
4097,1,NGA-fcd7958d-e035-42e7-8ac3-b951a3483d64
5455,1,MET-7e8e8399-079c-489b-8f47-bd8d4f056757
2999,1,NGA-8a06ef95-d71e-4c33-9171-ac45a4c098d2
10293,1,TCMA-06f3c159-e689-4648-a422-a1d641828f67
1415,1,ARTIC-d3cf298a-1868-3274-1b50-a484ce1462c9
10292,1,TCMA-2e4e0581-e5d1-46fb-923b-2d679700b8da
6017,1,MET-59a8f303-8311-4390-91fd-51b0fca5410b
7799,1,MET-19dd730c-f023-4527-8844-67e810715183
1406,1,ARTIC-d1549113-7586-2193-de9f-80c1ce58ed64
10291,1,TCMA-cfcc4fde-a3ee-4f16-96db-b4b38a238fcf
6790,1,MET-6a7d2aef-b27e-4740-984c-cb5a15eafa79
5456,1,MET-e5c8732b-dde9-4ad6-939d-e1eb6e802229
6265,1,MET-2ac87243-3cd3-4636-b51a-8c2bc9a9d8b5
10288,1,TCMA-e80017ac-7d9f-4d75-b20b-cb9a97961733
5457,1,MET-84006ca5-dcf1-431f-a187-8c13c9ffa0eb
4787,1,MET-4dd969d6-b2f2-4df7-8464-8cf09ad1f4d0
5444,1,MET-06197e3f-c604-4dec-aa65-a7c0b8221e76
10241,1,TCMA-244dd6e2-d10f-4da5-b596-bab38249c6da
1443,1,ARTIC-d790fdf8-7b1f-c24a-ce2b-ca0f3d5ed2f3
