artist_id,display_name,birth_year,death_year,nationality
TCMA-2644,"Hans Baldung (German, 1484/85–1545)",1484,1545,German
TCMA-58611,"Raymond Jonson (American, 1891–1982)",1891,1982,American
TCMA-45777,"Frans Pourbus (Flemish, 1569–1622)",1569,1622,Flemish
TCMA-27841,"Giuseppe Castiglione (Italian, 1688–1766)",1688,1766,Italian
TCMA-11199,"Chen Ruyan (Chinese, c. 1331–1371)",1326,1371,Chinese
TCMA-35871,"Yi Sumun (Korean, b. c. 1404)",1400,None,Korean
TCMA-1788,"Johan Barthold Jongkind (Dutch, 1819–1891)",1819,1891,Dutch
TCMA-515373,"Master of the Krainburg Altar (Austrian, active c. 1485–1510)",1470,1570,Austrian
TCMA-3101,"William Michael Harnett (American, 1848–1892)",1848,1892,American
TCMA-30162,"Zhou Wenju (Chinese, active 942–961)",None,None,Chinese
TCMA-288357,"Muhammad Ali (Persian, active 1590–1620)",None,1620,Persian
TCMA-2301,"Giovanni Girolamo Savoldo (Italian, c. 1480–after.1548)",1480,1548,Italian
TCMA-1921,"François Hubert Drouais (French, 1727–1775)",1727,1775,French
TCMA-2329,"Giovanni Battista Tiepolo (Italian, 1696–1770)",1696,1770,Italian
TCMA-2040,"Agnolo Bronzino (Italian, 1503–1572)",1503,1572,Italian
TCMA-6279,"Zhou Chen (Chinese, c. 1450–c. 1536)",1445,1541,Chinese
TCMA-3237,"John F. Peto (American, 1854–1907)",1854,1907,American
TCMA-6218,"Ma Lin (Chinese, c. 1185–after 1260)",1180,1260,Chinese
TCMA-13387,"Hippolyte Jean Flandrin (French, 1809–1864)",1809,1864,French
TCMA-1885,"Nicolas Lancret (French, 1690–1743)",1690,1743,French
TCMA-2091,"Giovanni Battista Cima da Conegliano (Italian, c. 1459–1518)",1459,1518,Italian
TCMA-9013,"Ren Renfa (Chinese, 1254–1328)",1254,1328,Chinese
TCMA-2324,"Bernardo Strozzi (Italian, 1581?-1644)",1581,1644,Italian
TCMA-2460,"Jan Anthonisz. van Ravesteyn (Dutch, c. 1570–1657)",1570,1657,Dutch
TCMA-2636,"Dieric Bouts (Netherlandish, 1415–1475)",1415,1475,Netherlandish
TCMA-6490,"John George Brown (American, 1831–1913)",1831,1913,American
TCMA-23570,"Hua Yan (Chinese, 1682–c. 1765)",1682,1756,Chinese
TCMA-6346,"Fang Shishu (Chinese, 1693–1751)",1693,1751,Chinese
TCMA-2268,"Giovanni Battista Pittoni (Italian, 1687–1767)",1687,1767,Italian
TCMA-1847,"Joseph Paelinck (Belgian, 1781–1839)",1781,1839,Belgian
TCMA-2894,"Alvan Fisher (American, 1792–1863)",1792,1863,American
TCMA-6210,"Chen Juzhong (Chinese, active c. 1201–1207)",None,None,Chinese
TCMA-65625,"Johann König (German, 1586–1642)",1586,1642,German
TCMA-63557,"Muhammad Rizavi Hindi (Indian, active mid-1700s)",None,1799,Indian
TCMA-31348,"Katsushika Ōi (Japanese, c. 1800-after 1857)",None,None,Japanese
TCMA-309365,"Yi Bul-hae (Korean, active 1500s)",None,None,Korean
TCMA-22796,"Zhao Mengfu (Chinese, 1254–1322)",1254,1322,Chinese
TCMA-1585,"Léon Cogniet (French, 1794–1880)",1794,1880,French
TCMA-5952,"Sesson Shūkei (Japanese, c. 1492–c. 1577)",1492,1577,Japanese
TCMA-33075,"Tawaraya Sōtatsu (Japanese, c. 1570-c. 1640)",1570,1640,Japanese
TCMA-6050,"Tatebayashi Kagei (Japanese, active mid-1700s)",None,None,Japanese
TCMA-2933,"Jacob Duck (Dutch, c. 1600–1667)",1600,1667,Dutch
TCMA-315930,"Jacob van Hulsdonck (Flemish, 1582–1647)",1582,1647,Flemish
TCMA-2885,"Abraham Bloemaert (Dutch, 1564–1651)",1564,1651,Dutch
TCMA-31189,"Li Anzhong (Chinese, active first half of the 1100s)",None,None,Chinese
TCMA-1557,"Rosa Bonheur (French, 1822–1899)",1822,1899,French
TCMA-28953,"Henri-Edmond Cross (French, 1856–1910)",1856,1910,French
