artist_id,birth_year,death_year,forward_display_name,preferred_display_name
33567.0,1855.0,1942.0,Cecilia Beaux,"Beaux, Cecilia"
40615.0,1746.0,1828.0,Francisco José de Goya y Lucientes,"Goya y Lucientes, Francisco José de"
42477.0,1475.0,1548.0,Giovanni Girolamo Savoldo,"Savoldo, Giovanni Girolamo"
34210.0,1803.0,1860.0,Alexandre Gabriel Decamps,"Decamps, Alexandre Gabriel"
40639.0,1824.0,1911.0,Jozef Israëls,"Israëls, Jozef"
92551.0,1829.0,1901.0,Hannah Brown Skeele,"Skeele, Hannah Brown"
40454.0,1824.0,1898.0,Eugène Louis Boudin,"Boudin, Eugène Louis"
28272.0,1470.0,1559.0,Wen Zhengming,Wen Zhengming
37279.0,1834.0,1903.0,James McNeill Whistler,"Whistler, James McNeill"
26682.0,1425.0,1495.0,Cosimo Tura,"Tura, Cosimo"
52849.0,1475.0,1628.0,Hans Eworth,"Eworth, Hans"
36432.0,1734.0,1802.0,George Romney,"Romney, George"
14600.0,1854.0,1913.0,Gaston La Touche,"La Touche, Gaston"
36681.0,1726.0,1792.0,Katsukawa Shunsho,Katsukawa Shunsho
35813.0,1824.0,1886.0,Adolphe Joseph Thomas Monticelli,"Monticelli, Adolphe Joseph Thomas"
40428.0,1505.0,1592.0,Jacopo Bassano,"Bassano, Jacopo"
16652.0,1425.0,1495.0,Matteo di Giovanni,Matteo di Giovanni
33370.0,1578.0,1660.0,Francesco Albani,"Albani, Francesco"
17803.0,1791.0,1872.0,Samuel F. B. Morse,"Morse, Samuel F. B."
36633.0,1427.0,1509.0,Shen Zhou,Shen Zhou
36177.0,1445.0,1523.0,Perugino,Perugino
103544.0,1855.0,1921.0,Kim Eung-won,Kim Eung-won
37401.0,1839.0,1892.0,Tsukioka Yoshitoshi,Tsukioka Yoshitoshi
69747.0,1847.0,1917.0,Noguchi Shohin,Noguchi Shohin
34049.0,1819.0,1877.0,Gustave Courbet,"Courbet, Gustave"
43630.0,1776.0,1842.0,Jacob Eichholtz,"Eichholtz, Jacob"
61105.0,1445.0,1540.0,Zhou Chen,Zhou Chen
476.0,1724.0,1772.0,Cosmo Alexander,"Alexander, Cosmo"
104691.0,,,Mughal,Mughal
41179.0,1530.0,1619.0,Denys Calvaert,"Calvaert, Denys"
92375.0,1756.0,1829.0,Bernard d'Agescy,"Agescy, Bernard d'"
14686.0,1578.0,1660.0,Lan Ying,Lan Ying
112112.0,1680.0,1760.0,Cai Jai,Cai Jai
37451.0,1888.0,1946.0,Horace Pippin,"Pippin, Horace"
41039.0,1769.0,1830.0,Sir Thomas Lawrence,"Lawrence, Thomas, Sir"
61888.0,,,Master of Saint Veronica,Master of Saint Veronica
20528.0,1682.0,1754.0,Giovanni Battista Piazzetta,"Piazzetta, Giovanni Battista"
26388.0,1617.0,1691.0,Tosa Mitsuoki,Tosa Mitsuoki
42670.0,1595.0,1681.0,Gerard van Soest,"Soest, Gerard van"
46450.0,1415.0,1465.0,Workshop of Apollonio di Giovanni,"Apollonio di Giovanni, Workshop of"
36750.0,1863.0,1923.0,Joaquín Sorolla y Bastida,"Sorolla y Bastida, Joaquín"
35156.0,,,Mihata Jôryû,Mihata Jôryû
87575.0,1399.0,1464.0,Workshop of Rogier van der Weyden,"Weyden, Rogier van der, Workshop of"
24418.0,1579.0,1657.0,Frans Snyders,"Snyders, Frans"
40516.0,1817.0,1878.0,Charles François Daubigny,"Daubigny, Charles François"
35622.0,1836.0,1897.0,Homer Dodge Martin,"Martin, Homer Dodge"
35029.0,1824.0,1879.0,William Morris Hunt,"Hunt, William Morris"
36972.0,1696.0,1770.0,Giambattista Tiepolo,"Tiepolo, Giambattista"
46310.0,1420.0,1506.0,School of Sesshu,"Sesshu, School of"
44128.0,,,Veneto-Lombardian School,Veneto-Lombardian School
37028.0,1810.0,1865.0,Constant Troyon,"Troyon, Constant"
44114.0,1755.0,1830.0,Nicolas Antoine Taunay,"Taunay, Nicolas Antoine"
34035.0,1796.0,1875.0,Jean Baptiste Camille Corot,"Corot, Jean Baptiste Camille"
20727.0,1840.0,1895.0,Ren Yi,Ren Yi
34611.0,1848.0,1903.0,Paul Gauguin,"Gauguin, Paul"
26678.0,1555.0,1636.0,Dong Qichang,Dong Qichang
34566.0,1874.0,1939.0,Frederick Carl Frieseke,"Frieseke, Frederick Carl"
46243.0,1528.0,1588.0,Follower of Paolo Veronese,"Veronese, Paolo, Follower of"
36333.0,1838.0,1917.0,Carducius Plantagenet Ream,"Ream, Carducius Plantagenet"
21570.0,1851.0,1909.0,Frederic Remington,"Remington, Frederic"
44129.0,1410.0,1484.0,Antonio Vivarini,"Vivarini, Antonio"
2298.0,1767.0,1842.0,Jean Victor Bertin,"Bertin, Jean Victor"
29150.0,1836.0,1892.0,Alexander Helwig Wyant,"Wyant, Alexander Helwig"
2256.0,1838.0,1910.0,Etienne Prosper Berne-Bellecour,"Berne-Bellecour, Etienne Prosper"
37523.0,1401.0,1500.0,German School,German School
42406.0,1598.0,1664.0,Francisco de Zurbarán,"Zurbarán, Francisco de"
40563.0,1599.0,1641.0,Anthony van Dyck,"Dyck, Anthony van"
29775.0,,,Northern Netherlandish School,Northern Netherlandish School
36487.0,1577.0,1640.0,Peter Paul Rubens,"Rubens, Peter Paul"
43052.0,,,Venetian School,Venetian School
41483.0,1570.0,1630.0,Bartolomeo Manfredi,"Manfredi, Bartolomeo"
42709.0,,,Francescuccio Ghissi,"Ghissi, Francescuccio"
743.0,1387.0,1455.0,Fra Angelico,"Angelico, Fra"
35834.0,1841.0,1895.0,Berthe Morisot,"Morisot, Berthe"
7746.0,1468.0,1533.0,Cornelis Engelbrechtsz.,"Engelbrechtsz., Cornelis"
118456.0,,,Monogrammist PG,Monogrammist PG
17105.0,1728.0,1779.0,Anton Raffael Mengs,"Mengs, Anton Raffael"
36407.0,1733.0,1808.0,Hubert Robert,"Robert, Hubert"
41190.0,1610.0,1690.0,"David Teniers, the younger","Teniers, David, the younger"
35142.0,1824.0,1906.0,Eastman Johnson,"Johnson, Eastman"
5937.0,1853.0,1929.0,William Turner Dannat,"Dannat, William Turner"
35761.0,1595.0,1628.0,Mi Wanzhong,Mi Wanzhong
35562.0,1667.0,1749.0,Alessandro Magnasco,"Magnasco, Alessandro"
36211.0,1830.0,1903.0,Camille Pissarro,"Pissarro, Camille"
40517.0,1808.0,1879.0,Honoré-Victorin Daumier,"Daumier, Honoré-Victorin"
13411.0,1775.0,1828.0,Kano Isen'in,Kano Isen'in
35379.0,1690.0,1743.0,Nicolas Lancret,"Lancret, Nicolas"
36862.0,1470.0,1523.0,Tang Yin,Tang Yin
4124.0,1849.0,1906.0,Eugène Carrière,"Carrière, Eugène"
35275.0,1664.0,1729.0,Torii Kiyonobu I,Torii Kiyonobu I
12209.0,1835.0,1902.0,Victor Pierre Huguet,"Huguet, Victor Pierre"
25021.0,1630.0,1715.0,Abraham Storck,"Storck, Abraham"
13430.0,,,Gao Yang,Gao Yang
47125.0,1697.0,1768.0,Follower of Canaletto,"Canaletto, Follower of"
41423.0,1618.0,1682.0,Bartolomé Estéban Murillo,"Murillo, Bartolomé Estéban"
60819.0,1864.0,1916.0,Vilhelm Hammershøi,"Hammershøi, Vilhelm"
35230.0,1839.0,1911.0,William Keith,"Keith, William"
35560.0,1632.0,1693.0,Nicolaes Maes,"Maes, Nicolaes"
115913.0,1818.0,1880.0,Charles Spencer Humphreys,"Humphreys, Charles Spencer"
35854.0,1807.0,1868.0,William Sidney Mount,"Mount, William Sidney"
40560.0,1811.0,1889.0,Jules Dupré,"Dupré, Jules"
34988.0,1836.0,1910.0,Winslow Homer,"Homer, Winslow"
35730.0,1815.0,1891.0,Jean Louis Ernest Meissonier,"Meissonier, Jean Louis Ernest"
36319.0,1858.0,1916.0,Henry Ward Ranger,"Ranger, Henry Ward"
60808.0,1697.0,1737.0,Gawen Hamilton,"Hamilton, Gawen"
20743.0,1797.0,,Pierre Achille Poirot,"Poirot, Pierre Achille"
36155.0,1778.0,1860.0,Rembrandt Peale,"Peale, Rembrandt"
49882.0,1699.0,1769.0,Dong Bangda,Dong Bangda
10052.0,1473.0,1536.0,Jan Gossart,"Gossart, Jan"
33896.0,1841.0,1901.0,Jean Charles Cazin,"Cazin, Jean Charles"
15545.0,1733.0,1813.0,Alessandro Longhi,"Longhi, Alessandro"
